iter	Passed	Remaining
0	57	57643
1	58	28954
2	58	19422
3	58	14639
4	59	11761
5	59	9840
6	59	8474
7	60	7444
8	60	6648
9	60	6003
10	60	5479
11	61	5038
12	61	4666
13	61	4349
14	62	4074
15	62	3834
16	62	3625
17	62	3436
18	63	3266
19	63	3116
20	63	2979
21	64	2853
22	64	2738
23	64	2633
24	65	2535
25	65	2444
26	65	2362
27	65	2287
28	66	2216
29	66	2150
30	66	2090
31	67	2031
32	67	1978
33	67	1926
34	68	1876
35	68	1830
36	68	1787
37	69	1747
38	69	1707
39	69	1669
40	69	1634
41	70	1601
42	70	1570
43	70	1542
44	71	1512
45	71	1484
46	71	1457
47	72	1432
48	72	1407
49	72	1383
50	73	1361
51	73	1339
52	73	1320
53	74	1299
54	74	1279
55	74	1260
56	75	1241
57	75	1223
58	75	1206
59	75	1189
60	76	1175
61	76	1159
62	76	1144
63	77	1129
64	77	1114
65	77	1101
66	78	1087
67	78	1074
68	78	1061
69	79	1049
70	79	1037
71	79	1025
72	79	1014
73	80	1003
74	80	993
75	80	982
76	81	971
77	81	961
78	81	951
79	81	942
80	82	932
81	82	923
82	82	913
83	83	905
84	83	897
85	83	888
86	83	881
87	84	873
88	84	865
89	84	858
90	85	850
91	85	843
92	85	836
93	86	829
94	86	823
95	86	817
96	87	810
97	87	803
98	87	797
99	87	791
100	88	785
101	88	778
102	88	773
103	89	768
104	89	761
105	89	756
106	89	750
107	90	745
108	90	741
109	91	736
110	91	732
111	91	727
112	92	722
113	92	717
114	92	713
115	92	708
116	93	702
117	93	698
118	93	695
119	94	690
120	94	687
121	94	683
122	95	679
123	95	675
124	95	671
125	96	667
126	96	662
127	96	659
128	97	656
129	97	652
130	97	648
131	98	644
132	98	640
133	98	636
134	98	633
135	99	630
136	99	627
137	99	624
138	100	621
139	100	618
140	100	615
141	101	611
142	101	607
143	101	604
144	101	601
145	102	598
146	102	596
147	103	593
148	103	590
149	103	587
150	103	583
151	104	580
152	104	578
153	104	575
154	105	573
155	105	571
156	105	568
157	106	566
158	106	564
159	107	562
160	107	558
161	107	556
162	107	553
163	108	551
164	108	548
165	108	546
166	109	544
167	109	542
168	109	539
169	110	537
170	110	535
171	110	532
172	110	530
173	111	528
174	111	526
175	111	524
176	112	521
177	112	519
178	112	517
179	113	515
180	113	513
181	113	511
182	114	509
183	114	507
184	114	505
185	115	503
186	115	501
187	115	499
188	115	497
189	116	495
190	116	493
191	116	490
192	116	488
193	117	487
194	117	485
195	117	483
196	118	481
197	118	479
198	118	477
199	119	476
200	119	474
201	119	472
202	120	471
203	120	469
204	120	467
205	120	465
206	121	464
207	121	462
208	121	460
209	122	459
210	122	457
211	122	456
212	123	454
213	123	453
214	123	451
215	123	449
216	124	448
217	124	446
218	124	445
219	125	443
220	125	442
221	125	440
222	126	439
223	126	438
224	126	436
225	127	435
226	127	433
227	127	432
228	128	431
229	128	430
230	128	428
231	129	427
232	129	425
233	129	424
234	129	422
235	130	421
236	130	420
237	130	418
238	131	417
239	131	415
240	131	414
241	131	413
242	132	412
243	132	410
244	132	409
245	133	408
246	133	406
247	133	405
248	134	404
249	134	403
250	134	402
251	135	400
252	135	399
253	135	398
254	135	396
255	136	395
256	136	394
257	136	393
258	137	392
259	137	390
260	137	389
261	137	388
262	138	387
263	138	386
264	138	385
265	139	383
266	139	382
267	139	381
268	139	380
269	140	379
270	140	377
271	140	376
272	141	375
273	141	374
274	141	373
275	141	372
276	142	371
277	142	370
278	142	369
279	143	368
280	143	367
281	143	366
282	144	365
283	144	364
284	144	363
285	145	362
286	145	361
287	145	360
288	146	359
289	146	358
290	146	357
291	147	356
292	147	355
293	147	354
294	148	353
295	148	352
296	148	351
297	148	350
298	149	349
299	149	348
300	149	347
301	150	347
302	150	346
303	150	345
304	151	344
305	151	343
306	151	342
307	152	341
308	152	340
309	152	339
310	153	339
311	153	338
312	153	337
313	153	336
314	154	335
315	154	334
316	154	333
317	155	332
318	155	331
319	155	331
320	156	330
321	156	329
322	156	328
323	157	327
324	157	326
325	157	325
326	157	324
327	158	324
328	158	323
329	158	322
330	159	321
331	159	321
332	159	320
333	160	319
334	160	318
335	160	317
336	161	317
337	161	316
338	161	315
339	161	314
340	162	313
341	162	312
342	162	311
343	163	311
344	163	310
345	163	309
346	164	308
347	164	308
348	164	307
349	165	306
350	165	306
351	165	305
352	166	304
353	166	303
354	166	302
355	166	302
356	167	301
357	167	300
358	167	299
359	168	299
360	168	298
361	168	297
362	169	297
363	169	296
364	169	295
365	170	295
366	170	294
367	170	293
368	171	292
369	171	292
370	171	291
371	172	290
372	172	290
373	173	289
374	173	288
375	173	288
376	173	287
377	174	286
378	174	285
379	174	285
380	175	284
381	175	283
382	175	282
383	175	282
384	176	281
385	176	280
386	176	280
387	177	279
388	177	278
389	177	278
390	178	277
391	178	276
392	178	275
393	178	275
394	179	274
395	179	273
396	179	272
397	180	272
398	180	271
399	180	270
400	180	270
401	181	269
402	181	268
403	181	268
404	182	267
405	182	266
406	182	265
407	182	265
408	183	264
409	183	263
410	183	263
411	183	262
412	184	261
413	184	261
414	184	260
415	185	259
416	185	259
417	185	258
418	185	257
419	186	257
420	186	256
421	186	255
422	186	255
423	187	254
424	187	253
425	187	252
426	187	252
427	188	251
428	188	250
429	188	250
430	188	249
431	189	248
432	189	248
433	189	247
434	189	246
435	190	245
436	190	245
437	190	244
438	190	243
439	191	243
440	191	242
441	191	241
442	191	241
443	192	240
444	192	239
445	192	239
446	192	238
447	193	238
448	193	237
449	193	236
450	193	236
451	194	235
452	194	234
453	194	234
454	194	233
455	195	232
456	195	232
457	195	231
458	195	230
459	196	230
460	196	229
461	196	228
462	196	228
463	197	227
464	197	227
465	197	226
466	197	225
467	198	225
468	198	224
469	198	224
470	198	223
471	199	222
